p,t,u,v,speed,rh,time,h,report_id
  2.8,359.15,-7.140591466586281,1.1335137878804937,7.23,0,19S7-21-47 12:00:00+00,4.5383000000000004,19S72147
  2.6,358.34999999999997,-7.684320389575914,1.3383647299401824,7.8,0,19S7-21-47 12:00:00+00,4.585100000000001,19S72147
  0.9,365.95,-7.481893168215663,0.8498085780973171,7.53,0,19S7-21-47 12:00:00+00,4.7859,19S72147
  0.7,366.84999999999997,-7.307156004766405,0.8803812367413768,7.36,0,19S7-21-47 12:00:00+00,4.810300000000001,19S72147
  0.4,367.54999999999995,-6.952594491021402,0.49227009194023164,6.97,0,19S7-21-47 12:00:00+00,4.839300000000001,19S72147
 -0.1,367.04999999999995,-6.243857548935902,0.6727874170911274,6.28,0,19S7-21-47 12:00:00+00,4.9216999999999995,19S72147
 -0.8,357.04999999999995,-5.742831084178215,1.3957045312660086,5.91,0,19S7-21-47 12:00:00+00,5.0587,19S72147
 -3.5,340.54999999999995,-8.232582621844804,2.2707230950732225,8.54,0,19S7-21-47 12:00:00+00,5.4768,19S72147
 -3.5,342.34999999999997,-7.962959592047442,1.9573641805805135,8.2,0,19S7-21-47 12:00:00+00,5.5084,19S72147
 -3.5,341.84999999999997,-7.994715786136756,1.8677846500321635,8.21,0,19S7-21-47 12:00:00+00,5.5137,19S72147
 -3.8,334.95,-8.160008914125104,1.145362179137597,8.24,0,19S7-21-47 12:00:00+00,5.5556,19S72147
 -4.3,350.84999999999997,-9.031188220022555,-0.39904803536141237,9.04,0,19S7-21-47 12:00:00+00,5.6575,19S72147
 -4.1,360.45,-8.80400758971727,-1.4338236851861288,8.92,0,19S7-21-47 12:00:00+00,5.7168,19S72147
 -4.6,345.95,-8.130427578821253,-1.618717821469435,8.29,0,19S7-21-47 12:00:00+00,5.8431999999999995,19S72147
 -5.1,348.54999999999995,-8.365902188627121,0.8601049763394849,8.41,0,19S7-21-47 12:00:00+00,6.0478000000000005,19S72147
 -5.2,348.34999999999997,-8.298286517923698,0.9278689920704201,8.35,0,19S7-21-47 12:00:00+00,6.0525,19S72147
 -6.0,325.04999999999995,-8.802525224559835,1.7764992741309682,8.98,0,19S7-21-47 12:00:00+00,6.1843,19S72147
 -6.0,323.84999999999997,-8.80846555905534,1.6946487821775655,8.97,0,19S7-21-47 12:00:00+00,6.1887,19S72147
 -6.1,323.04999999999995,-8.910442354250488,1.7465443170956187,9.08,0,19S7-21-47 12:00:00+00,6.1931,19S72147
 -6.6,315.84999999999997,-8.859699323320829,1.6388495661129048,9.01,0,19S7-21-47 12:00:00+00,6.272,19S72147
 -7.1,339.45,-9.7314765476284,2.919582881673074,10.16,0,19S7-21-47 12:00:00+00,6.3399,19S72147
 -7.6,334.54999999999995,-10.738488346657322,3.320010245271074,11.24,0,19S7-21-47 12:00:00+00,6.4613000000000005,19S72147
 -7.9,324.95,-11.008839218633119,4.303238206082177,11.82,0,19S7-21-47 12:00:00+00,6.5246,19S72147
 -8.0,325.25,-10.978172329905062,4.326630593765416,11.8,0,19S7-21-47 12:00:00+00,6.5296,19S72147
 -8.1,321.45,-11.162475949316876,4.79808614771789,12.15,0,19S7-21-47 12:00:00+00,6.5595,19S72147
 -8.3,319.95,-11.289171628625546,5.528065117148681,12.57,0,19S7-21-47 12:00:00+00,6.5891,19S72147
-10.1,313.04999999999995,-9.55103448956374,8.551616231985852,12.82,0,19S7-21-47 12:00:00+00,6.9482,19S72147
-10.2,313.15,-9.270361620827392,8.26539747496093,12.42,0,19S7-21-47 12:00:00+00,6.9621,19S72147
-11.0,319.45,-9.212889428886147,7.500471209938608,11.88,0,19S7-21-47 12:00:00+00,7.0454,19S72147
