time,v150,v200,fried,eps,year,month,hour
2017-08-24 12:00:00+00,5.615342808116409,7.5372590386081235,0.07736462983222563,1.2743942906145054,2017,8,12
2017-08-25 12:00:00+00,4.563213615982821,9.110339069721654,0.07896132054698454,1.2486245401003253,2017,8,12
2017-08-26 12:00:00+00,4.293789740858237,8.409628263561785,0.07981601950382307,1.2352538145424616,2017,8,12
2017-08-27 12:00:00+00,5.110639451472546,13.143574998434149,0.0779880055144387,1.264207770199219,2017,8,12
2017-08-28 12:00:00+00,6.0998481342903865,19.375499134744828,0.06919530729849031,1.4248515745206327,2017,8,12
2017-08-29 12:00:00+00,5.654822867150341,22.848060931413798,0.0835950375793054,1.1794126231495399,2017,8,12
2017-08-30 12:00:00+00,12.435041044278798,30.182486818184625,0.06917787130211042,1.4252107024675844,2017,8,12
2017-08-31 12:00:00+00,19.32619546189888,24.499740266813948,0.05968649377841409,1.65184845535942,2017,8,12
2017-09-01 12:00:00+00,14.902643894124715,28.909864777951384,0.0778386266219812,1.2666338915832163,2017,9,12
2017-09-02 12:00:00+00,15.537471126299502,14.221009955141897,0.08136260506280184,1.2117734243832454,2017,9,12
2017-09-03 12:00:00+00,9.467672181575992,28.82632043005557,0.07974055185262399,1.2364228772320516,2017,9,12
2017-09-04 12:00:00+00,5.617051882762938,22.283611264380895,0.08632485292259663,1.1421165425221937,2017,9,12
2017-09-05 12:00:00+00,9.34284142196058,15.48626800884268,0.0690887362812681,1.427049441927979,2017,9,12
2017-09-06 12:00:00+00,13.766261248264463,6.392635848677478,0.07324967855155495,1.3459860098130083,2017,9,12
2017-09-07 12:00:00+00,13.657271998044289,10.534745142255083,0.08361427148965267,1.1791413211785733,2017,9,12
2017-09-08 12:00:00+00,13.373737145353518,12.694060288411505,0.0956839613070312,1.0304030185093096,2017,9,12
2017-09-09 12:00:00+00,9.53899835355124,10.354095952851104,0.08017869028332168,1.2296664139224747,2017,9,12
2017-09-10 12:00:00+00,11.77009433060038,10.521251412135248,0.06278274655182317,1.5703843487049525,2017,9,12
2017-09-11 12:00:00+00,6.431969251845346,2.051352435772089,0.07813019414950217,1.2619070466538853,2017,9,12
2017-09-12 12:00:00+00,6.460464612973356,6.519776573809811,0.07903780032876609,1.247416326663758,2017,9,12
2017-09-14 12:00:00+00,6.859035579934117,9.939364256309638,0.0803591054968036,1.2269056747727816,2017,9,12
2017-09-15 12:00:00+00,10.235198738106405,8.249101206329067,0.08122036187624346,1.2138956325252583,2017,9,12
2017-09-16 12:00:00+00,6.686963648791091,5.84090069483273,0.08474850725569615,1.1633602259946152,2017,9,12
2017-09-18 12:00:00+00,14.659203259680043,18.68673106205718,0.07077887804381985,1.3929726675330045,2017,9,12
2017-09-19 12:00:00+00,9.596044372489713,18.408018688384672,0.07514818839499862,1.3119816280262406,2017,9,12
2017-09-20 12:00:00+00,9.252451912240007,5.354314783686327,0.08448757232921211,1.1669531960217512,2017,9,12
2017-09-21 12:00:00+00,5.828551857563676,10.111603930072407,0.08381921888505302,1.1762581883386467,2017,9,12
2017-09-22 12:00:00+00,2.8532345072129406,2.640930776063934,0.0787183398283831,1.2524786824600145,2017,9,12
2017-09-23 12:00:00+00,2.97257885180241,2.522125747992023,0.08999485437122504,1.0955408866711507,2017,9,12
2017-09-24 12:00:00+00,5.128159454627589,2.39686965852321,0.0773049176948355,1.2753786627507095,2017,9,12
2017-09-26 12:00:00+00,14.537132967771125,12.329800191352886,0.09654814533711936,1.0211800776641888,2017,9,12
2017-09-27 12:00:00+00,14.64473515346845,14.950590943132426,0.07959726893109136,1.2386485601540742,2017,9,12
2017-09-28 12:00:00+00,18.162349352189448,11.16835198359459,0.08744177973869822,1.1275278573734202,2017,9,12
2017-09-29 12:00:00+00,12.792743801543205,8.506204779191918,0.08903337477775607,1.1073717333505508,2017,9,12
2017-10-01 12:00:00+00,1.504429579752509,3.4745209105237445,0.0800086514142712,1.2322797698863206,2017,10,12
2017-10-03 12:00:00+00,2.7155997066894035,5.459888238060291,0.08236836378142068,1.196977067740806,2017,10,12
2017-10-04 12:00:00+00,5.848146012160387,4.097511496326387,0.09659769840744954,1.0206562286590621,2017,10,12
2017-10-05 12:00:00+00,4.386781647917577,5.392745329806165,0.09353258343975529,1.0541037029859985,2017,10,12
2017-10-06 12:00:00+00,6.77655097109834,8.024925312416089,0.09238565483014484,1.0671899521084813,2017,10,12
2017-10-07 12:00:00+00,15.15178602305587,16.718774576669546,0.0781562439579452,1.2614864476694212,2017,10,12
2017-10-08 12:00:00+00,15.549697752160093,12.504754750622354,0.09569850748775946,1.0302463971687723,2017,10,12
2017-10-09 12:00:00+00,10.050983308399172,9.484438171226584,0.09087145555544111,1.0849726347075057,2017,10,12
2017-10-10 12:00:00+00,5.249520479489089,10.204775024548278,0.09114746452999538,1.081687165540928,2017,10,12
2017-10-13 12:00:00+00,13.875515513218959,18.210465758580877,0.08408295171712053,1.1725687614462987,2017,10,12
