year,month,day,hour,H_mean,D_mean,Z_mean,minute,timestamp,dhdt,dddt,el_x,el_y
2024,5,10,1,40458.17,-31.68,-11030.06,1,2024-05-10 01:01:00,0.0038333333332654243,-0.006166666666666683,-0.20118846907679483,-0.21447728288488008
2024,5,10,1,40458.15,-31.82,-11029.9,2,2024-05-10 01:02:00,-0.0003333333332799763,-0.0023333333333333426,-0.21148890291259176,-0.21714726948824795
2024,5,10,1,40458.08,-32.23,-11029.82,3,2024-05-10 01:03:00,-0.001166666666661816,-0.006833333333333276,-0.2096276622425266,-0.20438046912246383
2024,5,10,1,40458.35,-32.58,-11029.75,4,2024-05-10 01:04:00,0.004499999999946643,-0.005833333333333357,-0.2264193018137159,-0.19053288335085938
2024,5,10,1,40458.63,-32.66,-11029.58,5,2024-05-10 01:05:00,0.004666666666647264,-0.0013333333333333049,-0.22589941722514234,-0.1979365515190566
2024,5,10,1,40458.7,-32.46,-11029.45,6,2024-05-10 01:06:00,0.001166666666661816,0.0033333333333332624,-0.20984598912851357,-0.19990107067974902
2024,5,10,1,40458.69,-32.74,-11029.31,7,2024-05-10 01:07:00,-0.00016666666657935518,-0.004666666666666685,-0.17253089038275263,-0.18119828405267885
2024,5,10,1,40458.79,-33.06,-11029.14,8,2024-05-10 01:08:00,0.0016666666666424134,-0.005333333333333338,-0.1739770110137388,-0.15359258487060512
2024,5,10,1,40458.95,-33.37,-11028.85,9,2024-05-10 01:09:00,0.0026666666666036085,-0.005166666666666586,-0.17222868485872542,-0.12954923859277903
2024,5,10,1,40459.63,-33.82,-11028.84,10,2024-05-10 01:10:00,0.011333333333338184,-0.007500000000000047,-0.17154146484243085,-0.11757199102458016
2024,5,10,1,40459.51,-34.49,-11028.72,11,2024-05-10 01:11:00,-0.00199999999992239,-0.011166666666666695,-0.18566302559021453,-0.14340226174118212
2024,5,10,1,40460.1,-35.2,-11028.57,12,2024-05-10 01:12:00,0.009833333333275126,-0.011833333333333347,-0.19928061007963857,-0.1174148695835041
2024,5,10,1,40460.33,-35.25,-11028.3,13,2024-05-10 01:13:00,0.00383333333338669,-0.000833333333333286,-0.21612023955022477,-0.14034988541677962
2024,5,10,1,40461.02,-35.39,-11028.15,14,2024-05-10 01:14:00,0.01149999999991754,-0.0023333333333333426,-0.19786072407348443,-0.14027848274319718
2024,5,10,1,40461.45,-35.37,-11028.02,15,2024-05-10 01:15:00,0.007166666666671517,0.0003333333333333854,-0.1886282758349898,-0.1694130693010352
2024,5,10,1,40461.24,-35.06,-11027.87,16,2024-05-10 01:16:00,-0.003499999999985448,0.005166666666666586,-0.17266642845145294,-0.1720960899294026
2024,5,10,1,40461.83,-34.84,-11027.74,17,2024-05-10 01:17:00,0.009833333333396392,0.0036666666666666475,-0.142852234004203,-0.14125861237146514
2024,5,10,1,40461.65,-34.92,-11027.29,18,2024-05-10 01:18:00,-0.0030000000000048508,-0.0013333333333333049,-0.11983769680693666,-0.16608093997752416
2024,5,10,1,40461.77,-34.71,-11027.12,19,2024-05-10 01:19:00,0.00199999999992239,0.0035000000000000144,-0.11296754759082596,-0.1360311320378342
2024,5,10,1,40461.58,-34.59,-11026.95,20,2024-05-10 01:20:00,-0.0031666666665842056,0.0019999999999999575,-0.09672210024763385,-0.13532857060334444
2024,5,10,1,40461.98,-34.79,-11026.67,21,2024-05-10 01:21:00,0.00666666666669092,-0.0033333333333332624,-0.08716578519389609,-0.11594035731970638
2024,5,10,1,40462.06,-34.73,-11026.44,22,2024-05-10 01:22:00,0.0013333333332411711,0.001000000000000038,-0.10104737968710784,-0.13970975343976244
2024,5,10,1,40462.39,-34.72,-11026.25,23,2024-05-10 01:23:00,0.005500000000029104,0.0001666666666666335,-0.087880654466173,-0.1301361335975271
2024,5,10,1,40462.09,-34.74,-11025.96,24,2024-05-10 01:24:00,-0.0050000000000485064,-0.0003333333333333854,-0.08077772969698187,-0.13706163751701653
2024,5,10,1,40462.75,-34.8,-11025.85,25,2024-05-10 01:25:00,0.011000000000058208,-0.0009999999999999196,-0.07531341590961482,-0.10013226999966497
2024,5,10,1,40463.46,-34.77,-11025.67,26,2024-05-10 01:26:00,0.011833333333318782,0.0004999999999999005,-0.07851462462623358,-0.13745393541924358
2024,5,10,1,40464.5,-35.17,-11025.47,27,2024-05-10 01:27:00,0.017333333333347887,-0.006666666666666643,-0.07068308980085536,-0.16737168536237523
2024,5,10,1,40464.65,-34.75,-11025.24,28,2024-05-10 01:28:00,0.0025000000000242532,0.007000000000000029,-0.08642611322141203,-0.21078647006429402
2024,5,10,1,40465.42,-34.61,-11024.99,29,2024-05-10 01:29:00,0.012833333333279977,0.0023333333333333426,-0.04849051214797356,-0.19035438734397095
2024,5,10,1,40465.87,-34.24,-11024.69,30,2024-05-10 01:30:00,0.007500000000072759,0.006166666666666624,-0.0414846135780371,-0.2206870410888926
2024,5,10,1,40466.29,-34.22,-11024.29,31,2024-05-10 01:31:00,0.006999999999970896,0.0003333333333333854,-0.015309209052299854,-0.22232405102745725
2024,5,10,1,40466.83,-34.27,-11024.12,32,2024-05-10 01:32:00,0.009000000000014552,-0.0008333333333334044,-0.018079293706280575,-0.22730296517146195
2024,5,10,1,40467.54,-34.2,-11023.75,33,2024-05-10 01:33:00,0.011833333333318782,0.0011666666666666713,-0.01878645842060655,-0.24143079127758216
2024,5,10,1,40468.26,-34.29,-11023.55,34,2024-05-10 01:34:00,0.012000000000019403,-0.0014999999999999384,-0.01081350364036414,-0.26015589796970934
2024,5,10,1,40469.32,-34.54,-11023.25,35,2024-05-10 01:35:00,0.01766666666662786,-0.004166666666666667,-0.017261953902927375,-0.2762893623740682
2024,5,10,1,40470.01,-34.61,-11022.76,36,2024-05-10 01:36:00,0.011500000000038806,-0.0011666666666666713,-0.035590988415458276,-0.31470130497201537
2024,5,10,1,40470.24,-34.37,-11022.4,37,2024-05-10 01:37:00,0.0038333333332654243,0.004000000000000033,-0.03264526413036462,-0.32498342077402886
2024,5,10,1,40470.58,-34.11,-11022.45,38,2024-05-10 01:38:00,0.005666666666729725,0.0043333333333333,-0.010487839100553223,-0.30664175957435275
2024,5,10,1,40470.99,-33.96,-11022.09,39,2024-05-10 01:39:00,0.006833333333270275,0.002499999999999976,0.008237813102947408,-0.3011839094927449
2024,5,10,1,40471.63,-34.0,-11021.77,40,2024-05-10 01:40:00,0.010666666666656966,-0.0006666666666666524,0.01938687186613132,-0.2947811277686704
2024,5,10,1,40472.66,-33.51,-11021.54,41,2024-05-10 01:41:00,0.01716666666676853,0.0081666666666667,0.021584489788305575,-0.3142324822077384
2024,5,10,1,40472.98,-32.77,-11021.29,42,2024-05-10 01:42:00,0.005333333333328483,0.012333333333333248,0.059750114945378095,-0.3452469268876575
2024,5,10,1,40473.05,-32.32,-11020.95,43,2024-05-10 01:43:00,0.001166666666661816,0.007500000000000047,0.09793593392992166,-0.33000764285983897
2024,5,10,1,40473.13,-32.17,-11020.91,44,2024-05-10 01:44:00,0.0013333333332411711,0.002499999999999976,0.1124226776119709,-0.2989494986690795
2024,5,10,1,40473.55,-31.97,-11020.7,45,2024-05-10 01:45:00,0.0070000000000921625,0.003333333333333381,0.10601278741953907,-0.2785633510329548
2024,5,10,1,40473.81,-31.59,-11020.49,46,2024-05-10 01:46:00,0.004333333333246022,0.006333333333333317,0.10240915163883572,-0.29169886195634176
2024,5,10,1,40474.15,-30.93,-11020.41,47,2024-05-10 01:47:00,0.005666666666729725,0.011000000000000003,0.11232174112124857,-0.2810260384508448
2024,5,10,1,40474.45,-30.33,-11020.12,48,2024-05-10 01:48:00,0.004999999999927241,0.010000000000000024,0.1419232968921385,-0.2873651045383171
2024,5,10,1,40475.37,-29.85,-11020.06,49,2024-05-10 01:49:00,0.015333333333425495,0.007999999999999948,0.15872233690620213,-0.28654108449304644
2024,5,10,1,40476.06,-29.58,-11019.89,50,2024-05-10 01:50:00,0.01149999999991754,0.004500000000000052,0.16734984319316748,-0.3292307041593526
2024,5,10,1,40477.21,-29.16,-11019.75,51,2024-05-10 01:51:00,0.01916666666669092,0.006999999999999969,0.1675655149430183,-0.34083784805045775
2024,5,10,1,40478.75,-28.81,-11019.66,52,2024-05-10 01:52:00,0.02566666666668122,0.005833333333333357,0.17626586480790643,-0.3845130737699733
2024,5,10,1,40479.81,-28.32,-11019.39,53,2024-05-10 01:53:00,0.01766666666662786,0.00816666666666664,0.1804547198147969,-0.4415125954384889
2024,5,10,1,40479.86,-27.89,-11019.29,54,2024-05-10 01:54:00,0.0008333333333818397,0.007166666666666662,0.19437454111731878,-0.46745215890210895
2024,5,10,1,40480.31,-27.36,-11019.17,55,2024-05-10 01:55:00,0.007499999999951493,0.008833333333333353,0.2033383011800527,-0.4177411802126999
2024,5,10,1,40480.79,-26.9,-11019.15,56,2024-05-10 01:56:00,0.008000000000053357,0.007666666666666681,0.21717366010183586,-0.4062464545659382
2024,5,10,1,40480.64,-26.49,-11019.11,57,2024-05-10 01:57:00,-0.0025000000000242532,0.006833333333333335,0.23098464618758066,-0.39339836315612753
2024,5,10,1,40480.2,-25.64,-11019.05,58,2024-05-10 01:58:00,-0.007333333333372138,0.014166666666666631,0.23023791094794024,-0.354416261437313
2024,5,10,1,40479.85,-25.23,-11019.18,59,2024-05-10 01:59:00,-0.00583333333330908,0.006833333333333335,0.26152949076361354,-0.2981993993509779
2024,5,10,2,40479.5,-24.64,-11019.39,0,2024-05-10 02:00:00,-0.00583333333330908,0.009833333333333331,0.2561362002538207,-0.26146624997715867
2024,5,10,2,40479.62,-23.91,-11019.55,1,2024-05-10 02:01:00,0.0020000000000436557,0.012166666666666675,0.2698817289012951,-0.22951504007235862
2024,5,10,2,40479.12,-23.12,-11019.57,2,2024-05-10 02:02:00,-0.008333333333333333,0.013166666666666653,0.29197521081593386,-0.22850267850948272
2024,5,10,2,40479.39,-23.17,-11019.72,3,2024-05-10 02:03:00,0.004499999999946643,-0.0008333333333333452,0.3133851162391508,-0.18223810850266337
2024,5,10,2,40479.73,-23.57,-11019.53,4,2024-05-10 02:04:00,0.005666666666729725,-0.006666666666666643,0.28204608742501325,-0.1912133860759066
2024,5,10,2,40480.27,-23.76,-11019.43,5,2024-05-10 02:05:00,0.008999999999893286,-0.003166666666666688,0.2412799579945236,-0.19304145439199827
2024,5,10,2,40480.92,-23.84,-11019.35,6,2024-05-10 02:06:00,0.010833333333357587,-0.0013333333333333049,0.221171404068722,-0.2085941533708737
2024,5,10,2,40480.1,-23.69,-11019.3,7,2024-05-10 02:07:00,-0.013666666666661815,0.002499999999999976,0.20645171455577338,-0.23243017986671272
2024,5,10,2,40479.53,-23.32,-11019.32,8,2024-05-10 02:08:00,-0.00949999999999515,0.006166666666666683,0.20661408434865103,-0.15836423361212695
2024,5,10,2,40479.41,-23.03,-11019.3,9,2024-05-10 02:09:00,-0.00199999999992239,0.004833333333333319,0.2198143586820471,-0.11694644602582104
2024,5,10,2,40478.8,-22.82,-11019.31,10,2024-05-10 02:10:00,-0.010166666666676368,0.0035000000000000144,0.2267178026244584,-0.10610560115175419
