SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Tomp1,Formasi Pelang,Pelang Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Tomt1,Formasi Totogan,Totogan Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tomw,Formasi Watupatok,Watupatok Formation,Extrusive: intermediate: lava,Volcanism: submarine,Volcanism: submarine,
Tpd,Batuan Diorit,Diorite Rock,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tpdi,Diorit Pendul,Pendul diorite,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Tpds,Anggota Batupasir,Damar Formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tpk1,Formasi Kalibeng,Kalibeng Formation,Sediment: clastic: fine: marl,Sedimentation: littoral,Sedimentation: littoral,
Tpk3,Formasi Kaliglagah,Kaliglagah Formation,Sediment: clastic: fine: claystone,Sedimentation: transitional,Sedimentation: terrestrial: fluvial,
Tpka,"Anggota Atas Angin, Formasi Kalibeng","Atas Angin Member, Kalibeng Formation",Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,
Tpkk,Anggota Klitik,Kalibeng Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tpm1,Formasi Mundu,Mundu  Formation,Sediment: clastic: fine: marl,Sedimentation: neritic,Sedimentation: neritic,
Tpp,Formasi Paciran,Paciran Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: transitional,
Tpp1,Formasi Peniron,Peniron Formation,Sediment: clastic: coarse: breccia,Volcanism: subareal,Volcanism: subareal,
Tps,Formasi Selorejo,Selorejo Formation,Sediment: clastic: limestone,Sedimentation: littoral,Sedimentation: littoral,
Tpso,Formasi Sonde,Sonde Formation,Sediment: clastic: fine: claystone,Sedimentation: littoral,Sedimentation: littoral,
Tptb,Anggota Breksi,Tapak Formation,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Tptl,Anggota Batugamping,Tapak Formation,Sediment: reef: limestone,Sedimentation: littoral: reef,Sedimentation: littoral: reef,
waduk,,,,,,
antic,,,,,,
Ms,,,,,,
Pp,,,,,,
Ppa,,,,,,
Qaf1,Endapan kipas Argopuro,Argopuro fan deposits,Extrusive: intermediate: pyroclastic,Volcanism: subaerial,Volcanism: subaerial,
Qar,Formasi Arjasa,Arjasa Formation,Sediment: clastic: medium: sandstone,Sedimentation: transitional,Sedimentation: transitional,
